sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;groundSteering; groundSteering-calculated
1584543626;644198;1342;131076;1584543626;644198;-0; 0.26162000682398107;
1584543626;744973;1342;231768;1584543626;744973;0.03598926; 0.257304145820664;
1584543626;845601;1342;332407;1584543626;845601;0.06597735; 0.25090357454706863;
1584543626;946200;1342;433011;1584543626;946200;0.0239958; 0.26881986062487667;
1584543627;46797;1342;533603;1584543627;46797;0.0239958; 0.23785711980051633;
1584543627;147468;1342;634289;1584543627;147468;0.0239958; 0.258387225434528;
1584543627;248137;1342;734938;1584543627;248137;0.0239958; 0.25334414734245675;
1584543627;348600;1342;835386;1584543627;348600;0.0239958; -0.08574317130886314;
1584543627;449314;1342;936186;1584543627;449314;0.02099521; -0.043939153213531035;
1584543627;549914;1343;36704;1584543627;549914;-0; -0.05999524397935779;
1584543627;650428;1343;137219;1584543627;650428;-0; -0.07377315969277565;
1584543627;750947;1343;237827;1584543627;750947;-0; -0.01042723949516916;
1584543627;851613;1343;338408;1584543627;851613;-0; 0.22206755556611596;
1584543627;952158;1343;438962;1584543627;952158;-0; 0.21718522549803382;
1584543628;52719;1343;539525;1584543628;52719;-0.002991707; -0.01964792617513289;
1584543628;153299;1343;640096;1584543628;153299;-0.03297979; 0.24886987003167554;
1584543628;253918;1343;740722;1584543628;253918;-0.1169518; 0.2556975246917423;
1584543628;354493;1343;841294;1584543628;354493;-0.08696368; 0.24961738304836284;
1584543628;455070;1343;941872;1584543628;455070;-0; 0.2423668524133677;
1584543628;555622;1344;42424;1584543628;555622;-0; 0.24377890387542117;
1584543628;656193;1344;142991;1584543628;656193;-0; 0.24670477048972156;
1584543628;756739;1344;243540;1584543628;756739;-0; 0.24633566601433127;
1584543628;857206;1344;343994;1584543628;857206;-0; -0.12908291023252683;
1584543628;957794;1344;444596;1584543628;957794;-0; 0.2615342786047042;
1584543629;58422;1344;545242;1584543629;58422;-0; 0.2544062727126209;
1584543629;159173;1344;645983;1584543629;159173;-0; 0.2643613106457245;
1584543629;259768;1344;746568;1584543629;259768;-0; 0.2857135244789624;
1584543629;360393;1344;847199;1584543629;360393;-0; -0.037760765183688094;
1584543629;461061;1344;947907;1584543629;461061;-0; -0.04702513617876569;
1584543629;561732;1345;48540;1584543629;561732;-0; 0.27160944647512436;
1584543629;662477;1345;149358;1584543629;662477;-0; 0.13680598988376697;
1584543629;763466;1345;250369;1584543629;763466;0.05998505; 0.26804864690877245;
1584543629;864200;1345;351017;1584543629;864200;0.01500292; 0.21395361497397908;
1584543629;964906;1345;451723;1584543629;964906;-0; 0.264077343387955;
1584543630;65459;1345;552255;1584543630;65459;0.003000584; 0.20395358564034655;
1584543630;166011;1345;652817;1584543630;166011;0.08997314; 0.15538036873203792;
1584543630;266563;1345;753370;1584543630;266563;0.08697256; 0.2998720007083349;
1584543630;367202;1345;854026;1584543630;367202;0.08997314; 0.2799208067184676;
1584543630;467788;1345;954586;1584543630;467788;0.1619428; 0.2289720738311522;
1584543630;568375;1346;55188;1584543630;568375;0.1889392; 0.29663142235101175;
1584543630;668935;1346;155746;1584543630;668935;-0; 0.10770174326995224;
1584543630;769635;1346;256465;1584543630;769635;-0; 0.06255579761461161;
1584543630;870240;1346;357057;1584543630;870240;0.08097139; 0.07647389335020827;
1584543630;970856;1346;457763;1584543630;970856;0.1619428; 0.2225183118213297;
1584543631;71573;1346;558372;1584543631;71573;-0; 0.009632564891584483;
1584543631;172125;1346;658940;1584543631;172125;0.1649434; 0.25674559428047034;
1584543631;272870;1346;759750;1584543631;272870;0.2159267; 0.27904740393023825;
